Dataset ID,XAI Method,Fidelity,Simplicity,Stability,Localization,source
img_001,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_001,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_001,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_001,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_001,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_001,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_001,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_001,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_001,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_001,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_001,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_001,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_002,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_002,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_002,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_002,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_002,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_002,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_002,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_002,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_002,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_002,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_002,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_002,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_003,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_003,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_003,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_003,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_003,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_003,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_003,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_003,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_003,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_003,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_003,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
