dataset_id_a,dataset_id_b,relevance
53,73,0.3027
53,69,0.3182
53,39,0.5502
53,53,1.0
53,111,0.5502
53,1,0.5502
915,63,0.361
915,451,0.3331
915,62,0.5598
915,17,0.3482
915,33,0.361
915,161,0.361
915,184,0.361
915,14,0.4257
915,38,0.361
915,383,0.3419
915,244,0.361
856,582,0.3623
856,697,0.4495
856,467,0.3623
856,591,0.4371
856,19,0.3824
856,320,0.5041
92,88,0.4203
92,42,0.3569
92,52,0.3569
92,148,0.4393
92,372,0.3569
92,3,0.3569
461,63,0.3635
461,33,0.3635
461,161,0.3635
461,184,0.3635
461,38,0.3635
461,484,0.3014
461,244,0.3635
461,text_001,0.3161
155,162,0.4818
155,381,0.4619
155,122,0.5552
155,146,0.5061
155,172,0.4342
545,39,0.3342
545,111,0.3342
545,1,0.3342
732,63,0.5245
732,62,0.3382
732,33,0.5245
732,863,0.3815
732,161,0.5245
732,184,0.5245
732,38,0.5245
732,244,0.5245
23,22,0.9321
109,291,0.3394
109,235,0.3247
109,851,0.3259
109,88,0.3708
109,198,0.3541
109,471,0.314
109,89,0.4279
109,75,0.369
109,186,0.5119
109,32,0.3394
109,464,0.38
109,42,0.6674
109,74,0.369
109,52,0.6674
109,148,0.3876
109,372,0.6674
109,3,0.6674
109,159,0.4279
109,107,0.3151
63,8,0.3994
63,857,0.3023
63,296,0.4191
63,212,0.3994
63,571,0.4722
63,936,0.3418
63,451,0.3837
63,277,0.366
63,759,0.4352
63,880,0.5245
63,174,0.5514
63,878,0.3278
63,189,0.4109
63,62,0.6448
63,519,0.3935
63,17,0.4011
63,503,0.3086
8,33,0.3994
8,161,0.3994
8,184,0.3994
8,38,0.3994
8,244,0.3994
857,33,0.3023
857,863,0.4769
857,161,0.3023
857,184,0.3023
857,529,0.3349
857,38,0.3023
857,336,0.7787
857,383,0.3278
857,244,0.3023
857,45,0.4214
360,29,0.6163
360,59,0.4435
360,582,0.3213
360,357,0.3229
360,229,0.3142
360,186,0.4594
360,374,0.3279
360,467,0.3213
360,54,0.6458
360,713,0.3974
360,94,0.3667
360,601,0.3416
360,379,0.3056
360,242,0.3974
360,87,0.3667
296,33,0.4191
296,863,0.3048
296,161,0.4191
296,184,0.4191
296,38,0.4191
296,891,0.556
296,244,0.4191
267,29,0.4185
267,59,0.3012
267,54,0.4385
212,33,0.3994
212,161,0.3994
212,184,0.3994
212,38,0.3994
212,244,0.3994
291,89,0.326
291,42,0.5086
291,52,0.5086
291,372,0.5086
291,3,0.5086
291,159,0.326
602,69,0.3027
602,39,0.5233
602,111,0.5233
602,1,0.5233
162,381,0.4008
162,122,0.4818
162,547,0.6915
162,146,0.4391
162,172,0.3768
571,277,0.3796
571,62,0.3045
571,503,0.4792
571,33,0.4722
571,863,0.3434
571,161,0.4722
571,184,0.4722
571,760,0.4718
571,38,0.4722
571,419,0.3017
571,244,0.4722
936,887,0.336
936,33,0.3418
936,161,0.3418
936,184,0.3418
936,38,0.3418
936,244,0.3418
722,29,0.4185
722,59,0.3012
722,54,0.4385
235,851,0.4642
235,89,0.3119
235,849,0.405
235,42,0.4865
235,52,0.4865
235,372,0.4865
235,3,0.4865
235,159,0.3119
235,ts_003,0.6806
572,312,0.332
572,597,0.3908
572,365,0.3962
451,62,0.595
451,17,0.6399
451,537,0.3062
451,33,0.3837
451,161,0.3837
451,184,0.3837
451,15,0.5363
451,14,0.7824
451,38,0.3837
451,383,0.3634
451,16,0.5363
451,244,0.3837
31,69,0.3027
31,39,0.5233
31,111,0.5233
31,1,0.5233
967,29,0.3242
967,327,0.412
967,54,0.3397
967,379,0.7178
851,198,0.5492
851,89,0.3131
851,374,0.3361
851,42,0.4883
851,52,0.4883
851,372,0.4883
851,242,0.4073
851,3,0.4883
851,159,0.3131
373,849,0.3523
373,591,0.4277
73,69,0.3182
73,39,0.5502
73,53,0.3027
73,848,0.7448
73,111,0.5502
73,1,0.5502
158,26,0.3843
158,367,0.5238
12,591,0.4985
12,2,0.3133
409,312,0.3098
409,560,0.333
88,89,0.3562
88,75,0.3072
88,464,0.3164
88,42,0.5556
88,74,0.3072
88,52,0.5556
88,148,0.684
88,372,0.5556
88,3,0.5556
88,159,0.3562
29,81,0.3148
29,59,0.6555
29,582,0.4749
29,327,0.4383
29,536,0.4301
29,357,0.4773
29,229,0.4645
29,567,0.4185
29,380,0.4185
29,374,0.4846
29,467,0.4749
29,270,0.3778
29,529,0.3582
29,54,0.9544
29,864,0.3674
29,78,0.3892
312,597,0.401
312,27,0.4069
312,555,0.3635
312,292,0.3635
312,603,0.3098
312,563,0.4831
312,186,0.4069
312,468,0.3033
312,445,0.4831
312,488,0.3098
312,332,0.3259
312,28,0.417
312,390,0.3275
312,143,0.3541
312,368,0.3743
312,477,0.3635
312,396,0.3035
312,247,0.5094
277,33,0.366
277,161,0.366
277,184,0.366
277,760,0.3657
277,38,0.366
277,244,0.366
597,374,0.3151
759,519,0.453
759,33,0.4352
759,863,0.3165
759,161,0.4352
759,184,0.4352
759,890,0.4091
759,38,0.4352
759,244,0.4352
759,827,0.3318
26,367,0.5238
880,62,0.3382
880,33,0.5245
880,863,0.3815
880,161,0.5245
880,184,0.5245
880,38,0.5245
880,244,0.5245
81,59,0.4803
81,54,0.3299
81,80,0.64
174,189,0.7451
174,62,0.3556
174,33,0.5514
174,60,0.3041
174,863,0.401
174,161,0.5514
174,184,0.5514
174,43,0.3153
174,46,0.3041
174,38,0.5514
174,891,0.3084
174,244,0.5514
69,728,0.3027
69,39,0.5784
69,47,0.3027
69,53,0.3182
69,110,0.3027
69,850,0.3027
69,111,0.5784
69,1,0.5784
878,33,0.3278
878,161,0.3278
878,184,0.3278
878,43,0.5733
878,38,0.3278
878,225,0.3424
878,82,0.3474
878,244,0.3278
59,582,0.3417
59,327,0.3154
59,536,0.3095
59,357,0.3434
59,229,0.3342
59,567,0.3012
59,380,0.3012
59,374,0.3487
59,467,0.3417
59,54,0.6868
59,713,0.4226
59,94,0.3901
59,601,0.3633
59,379,0.325
59,257,0.3095
381,122,0.4619
381,146,0.421
381,172,0.3612
198,89,0.3401
198,464,0.3021
198,42,0.5305
198,52,0.5305
198,148,0.3082
198,372,0.5305
198,3,0.5305
198,159,0.3401
27,28,0.5406
27,144,0.3253
27,143,0.8702
27,350,0.4151
485,484,0.4297
189,33,0.4109
189,161,0.4109
189,184,0.4109
189,38,0.4109
189,244,0.4109
582,467,1.0
582,54,0.4976
582,713,0.3062
582,242,0.3062
582,320,0.8369
76,20,0.3044
76,13,0.362
76,44,0.362
76,117,0.3044
76,591,0.6017
76,144,0.3004
76,116,0.3376
76,320,0.3194
76,2,0.3782
471,89,0.3016
471,464,0.4423
471,42,0.4705
471,52,0.4705
471,372,0.4705
471,3,0.4705
471,159,0.3016
327,54,0.4593
327,379,0.5739
942,763,0.3754
536,492,0.3349
536,54,0.4506
20,13,0.3044
20,44,0.3044
20,117,1.0
20,591,0.5059
20,116,0.6745
20,2,0.318
62,17,0.622
62,537,0.5146
62,33,0.6448
62,60,0.3556
62,863,0.469
62,161,0.6448
62,184,0.6448
62,15,0.5212
62,14,0.7605
62,43,0.3687
62,193,0.3382
62,46,0.3556
62,38,0.6448
89,75,0.3544
89,32,0.326
89,464,0.365
89,42,0.6411
89,74,0.3544
89,52,0.6411
89,148,0.3724
89,372,0.6411
89,3,0.6411
89,159,0.411
89,107,0.3026
367,101,0.3507
728,39,0.5233
728,111,0.5233
728,1,0.5233
50,229,0.3993
50,147,0.8373
122,146,0.5061
122,172,0.4342
357,54,0.5
357,864,0.5436
357,713,0.3077
357,242,0.3077
519,33,0.3935
519,161,0.3935
519,184,0.3935
519,890,0.3699
519,38,0.3935
519,95,0.4669
519,96,0.4669
519,244,0.3935
519,145,0.5222
519,45,0.4941
519,827,0.5336
547,39,0.4223
547,111,0.4223
547,1,0.4223
17,537,0.3201
17,33,0.4011
17,161,0.4011
17,184,0.4011
17,15,0.8381
17,14,0.8179
17,38,0.4011
17,383,0.3799
17,16,0.8381
17,244,0.4011
697,591,0.4064
183,211,0.8351
183,591,0.4962
183,2,0.3119
229,54,0.4866
229,147,0.3344
229,img_018,0.4601
503,33,0.3086
503,161,0.3086
503,184,0.3086
503,46,0.5596
503,38,0.3086
503,244,0.3086
567,54,0.4385
603,149,0.3111
537,863,0.5235
537,14,0.3913
537,383,0.8426
537,244,0.3318
13,44,0.362
13,117,0.3044
13,591,0.6017
13,144,0.3004
13,116,0.3376
13,320,0.3194
13,2,0.3782
887,863,0.389
44,117,0.3044
44,591,0.6017
44,144,0.3004
44,116,0.3376
44,320,0.3194
44,2,0.3782
211,591,0.4144
60,863,0.401
60,43,0.3153
60,46,0.3041
60,891,0.3084
60,225,0.6193
863,329,0.3079
863,760,0.3309
863,14,0.3566
863,43,0.4159
863,193,0.3815
863,46,0.401
863,95,0.3133
863,383,0.6213
863,891,0.452
90,39,0.4485
90,111,0.4485
90,1,0.4485
90,913,0.3421
90,91,0.5758
39,47,0.5233
39,53,0.5502
39,110,0.5233
39,848,0.4098
39,850,0.5233
39,111,1.0
39,342,0.3983
39,1,1.0
39,91,0.418
117,591,0.5059
117,116,0.6745
117,2,0.318
380,54,0.4385
329,img_019,0.5205
75,464,0.3148
75,42,0.5528
75,74,1.0
75,52,0.5528
75,148,0.3211
75,372,0.5528
75,3,0.5528
75,159,0.3544
75,107,0.529
468,332,0.3524
468,352,0.4131
374,529,0.4264
374,54,0.5078
374,713,0.3125
374,242,0.8251
467,54,0.4976
467,713,0.3062
467,242,0.3062
467,320,0.8369
488,368,0.4468
47,111,0.5233
47,1,0.5233
332,352,0.444
332,text_002,0.4069
849,591,0.379
849,ts_003,0.3611
32,42,0.5086
32,52,0.5086
32,372,0.5086
32,3,0.5086
32,159,0.326
270,54,0.3958
270,551,0.3323
28,426,0.3291
28,144,0.3334
28,143,0.4705
28,350,0.4254
15,14,0.6854
15,383,0.3183
15,16,0.7023
529,54,0.3753
53,111,0.5502
53,1,0.5502
275,560,0.5787
275,591,0.4962
275,2,0.3119
390,247,0.6429
146,172,0.3957
464,42,0.5694
464,74,0.3148
464,52,0.5694
464,148,0.3307
464,372,0.5694
464,3,0.5694
464,159,0.365
54,591,0.3854
54,864,0.3849
42,74,0.5528
42,165,0.4344
42,52,1.0
42,148,0.5808
42,372,1.0
42,3,1.0
42,159,0.6411
42,107,0.4721
591,426,0.42
591,144,0.4993
591,105,0.4117
591,116,0.5611
591,320,0.5308
591,2,0.6286
14,383,0.4644
14,16,0.6854
43,46,0.3153
43,891,0.3198
43,827,0.5042
426,2,0.6681
144,143,0.5338
144,116,0.5043
144,2,0.3138
144,145,0.3055
74,52,0.5528
74,148,0.3211
74,372,0.5528
74,3,0.5528
74,159,0.3544
74,107,0.529
143,350,0.3612
110,111,0.5233
110,1,0.5233
46,891,0.3084
848,111,0.4098
848,1,0.4098
116,2,0.3527
165,52,0.4344
165,372,0.4344
165,3,0.4344
713,94,0.3495
713,601,0.3255
713,242,0.3787
713,87,0.3495
713,img_032,0.4561
95,96,0.511
95,145,0.5717
95,45,0.5408
94,601,0.3004
94,242,0.3495
94,87,0.3225
850,111,0.5233
850,1,0.5233
336,45,0.3642
383,16,0.3183
601,242,0.3255
601,87,0.3004
111,342,0.3983
111,1,1.0
111,91,0.418
52,148,0.5808
52,372,1.0
52,3,1.0
52,159,0.6411
52,107,0.4721
257,911,0.5097
147,145,0.3283
80,img_004,0.3248
484,text_001,0.4385
342,1,0.3983
148,372,0.5808
148,3,0.5808
148,159,0.3724
148,145,0.3205
1,91,0.418
225,82,0.3619
913,91,0.3188
372,3,1.0
372,159,0.6411
372,107,0.4721
419,565,0.3271
242,87,0.3495
320,2,0.3336
96,145,0.5717
96,45,0.5408
911,text_001,0.3109
3,159,0.6411
3,107,0.4721
159,107,0.3026
145,45,0.6049
img_001,img_013,0.4983
img_001,img_014,0.4
img_001,img_015,0.4124
img_001,img_038,0.4144
img_001,img_039,0.4367
img_002,img_003,0.609
img_002,img_005,0.3416
img_002,img_007,0.6237
img_003,img_043,0.3697
img_004,img_005,0.5941
img_005,img_007,0.3767
img_008,img_009,0.3789
img_008,img_042,0.4737
img_008,img_046,0.4398
img_010,img_036,0.3998
img_010,img_048,0.6507
img_012,img_013,0.4178
img_012,img_036,0.3747
img_013,img_036,0.4879
img_014,img_015,0.4781
img_016,img_017,0.3473
img_016,img_020,0.5158
img_017,img_020,0.342
img_021,img_023,0.4602
img_021,img_024,0.4613
img_021,img_025,0.5768
img_022,img_036,0.3193
img_022,img_048,0.3509
img_023,img_024,0.3465
img_023,img_025,0.3769
img_024,img_025,0.3254
img_026,img_029,0.3183
img_027,img_028,0.3083
img_028,img_029,0.4267
img_028,img_030,0.4429
img_028,ts_008,0.3088
img_029,img_030,0.4859
img_031,img_034,0.7607
img_031,text_014,0.3316
img_031,text_015,0.3156
img_032,img_034,0.4168
