domain_from,domain_to,relevance
iot,iot,1.0
healthcare,healthcare,1.0
social science,social science,1.0
health and medicine,health and medicine,1.0
climate and environment,climate and environment,1.0
autonomous_vehicles,autonomous_vehicles,1.0
physics and chemistry,physics and chemistry,1.0
other,other,1.0
business,business,1.0
general,general,1.0
recommendation_systems,recommendation_systems,1.0
computer science,computer science,1.0
cybersecurity,cybersecurity,1.0
games,games,1.0
engineering,engineering,1.0
biology,biology,1.0
finance,finance,1.0
manufacturing,manufacturing,1.0
health and medicine,healthcare,1.0
healthcare,health and medicine,1.0
health,healthcare,1.0
healthcare,health,1.0
medicine,healthcare,1.0
healthcare,medicine,1.0
biology,healthcare,1.0
healthcare,biology,1.0
financial,finance,1.0
finance,financial,1.0
business,finance,1.0
finance,business,1.0
computer science,cybersecurity,1.0
cybersecurity,computer science,1.0
security,cybersecurity,1.0
cybersecurity,security,1.0
autonomous vehicles,autonomous_vehicles,1.0
autonomous_vehicles,autonomous vehicles,1.0
physics and chemistry,autonomous_vehicles,1.0
autonomous_vehicles,physics and chemistry,1.0
computer science,autonomous_vehicles,1.0
autonomous_vehicles,computer science,1.0
recommendation systems,recommendation_systems,1.0
recommendation_systems,recommendation systems,1.0
social science,recommendation_systems,1.0
recommendation_systems,social science,1.0
business,recommendation_systems,1.0
recommendation_systems,business,1.0
industry,manufacturing,1.0
manufacturing,industry,1.0
physics and chemistry,manufacturing,1.0
manufacturing,physics and chemistry,1.0
iot / sensors,iot,1.0
iot,iot / sensors,1.0
climate and environment,iot,1.0
iot,climate and environment,1.0
computer science,iot,1.0
iot,computer science,1.0
health and medicine,health,0.85
health,health and medicine,0.85
health and medicine,medicine,0.85
medicine,health and medicine,0.85
health and medicine,biology,0.85
biology,health and medicine,0.85
health,medicine,0.85
medicine,health,0.85
health,biology,0.85
biology,health,0.85
medicine,biology,0.85
biology,medicine,0.85
financial,business,0.85
business,financial,0.85
computer science,security,0.85
security,computer science,0.85
industry,physics and chemistry,0.85
physics and chemistry,industry,0.85
iot / sensors,climate and environment,0.85
climate and environment,iot / sensors,0.85
iot / sensors,computer science,0.85
computer science,iot / sensors,0.85
climate and environment,computer science,0.85
computer science,climate and environment,0.85
autonomous vehicles,physics and chemistry,0.85
physics and chemistry,autonomous vehicles,0.85
autonomous vehicles,computer science,0.85
computer science,autonomous vehicles,0.85
physics and chemistry,computer science,0.85
computer science,physics and chemistry,0.85
recommendation systems,social science,0.85
social science,recommendation systems,0.85
recommendation systems,business,0.85
business,recommendation systems,0.85
social science,business,0.85
business,social science,0.85
general,iot,0.5
iot,general,0.5
general,healthcare,0.5
healthcare,general,0.5
general,social science,0.5
social science,general,0.5
general,health and medicine,0.5
health and medicine,general,0.5
general,climate and environment,0.5
climate and environment,general,0.5
general,autonomous_vehicles,0.5
autonomous_vehicles,general,0.5
general,physics and chemistry,0.5
physics and chemistry,general,0.5
general,other,0.5
other,general,0.5
general,business,0.5
business,general,0.5
general,recommendation_systems,0.5
recommendation_systems,general,0.5
general,computer science,0.5
computer science,general,0.5
general,cybersecurity,0.5
cybersecurity,general,0.5
general,games,0.5
games,general,0.5
general,engineering,0.5
engineering,general,0.5
general,biology,0.5
biology,general,0.5
general,finance,0.5
finance,general,0.5
general,manufacturing,0.5
manufacturing,general,0.5
iot,healthcare,0.3
iot,social science,0.3
iot,health and medicine,0.3
iot,autonomous_vehicles,0.3
iot,physics and chemistry,0.3
iot,other,0.3
iot,business,0.3
iot,recommendation_systems,0.3
iot,cybersecurity,0.3
iot,games,0.3
iot,engineering,0.3
