Dataset ID,XAI Method,Fidelity,Simplicity,Stability,Localization,source
53,SHAP,0.6306,78.0,0.8752,,
53,LIME,0.4882,60.0,0.9582,,
53,Permutation Feature Importance,0.0972,78.0,0.0284,,
53,PDP,0.4266,92.0,0.0613,,
45,SHAP,0.3729,60.0,0.3129,,
45,LIME,0.3641,60.0,0.6329,,
45,Permutation Feature Importance,0.0324,78.0,0.0147,,
45,PDP,0.2265,78.0,0.0289,,
2,SHAP,0.24,78.0,0.2689,,
2,LIME,0.281,60.0,0.868,,
2,Permutation Feature Importance,0.0498,78.0,0.0019,,
109,SHAP,0.6738,78.0,0.5995,,
109,LIME,0.6139,78.0,0.8905,,
109,Permutation Feature Importance,0.0468,78.0,0.0072,,
109,PDP,0.3788,92.0,0.0728,,
19,SHAP,0.2474,60.0,0.6655,,
19,LIME,0.1853,60.0,0.4923,,
19,Permutation Feature Importance,0.0379,78.0,0.0134,,
19,PDP,0.1545,78.0,0.0148,,
144,SHAP,0.3414,60.0,0.288,,
144,LIME,0.41,60.0,0.7604,,
144,Permutation Feature Importance,0.0296,78.0,0.009,,
94,SHAP,0.7733,78.0,0.4782,,
94,LIME,0.5326,60.0,0.7671,,
94,Permutation Feature Importance,0.0127,78.0,0.0011,,
15,SHAP,0.7737,78.0,0.8665,,
15,LIME,0.7785,60.0,0.9953,,
15,Permutation Feature Importance,0.0432,78.0,0.0062,,
14,SHAP,0.3687,78.0,0.5489,,
14,LIME,0.4746,60.0,0.6704,,
14,Permutation Feature Importance,0.0643,78.0,0.0193,,
27,SHAP,0.6246,60.0,0.3061,,
27,LIME,0.5451,60.0,0.9768,,
27,Permutation Feature Importance,0.0427,78.0,0.0102,,
42,SHAP,0.3581,60.0,0.5305,,
42,LIME,0.2179,60.0,0.3192,,
42,Permutation Feature Importance,0.0686,78.0,0.0333,,
42,PDP,0.2614,78.0,0.0336,,
80,SHAP,0.1843,78.0,0.8429,,
80,LIME,0.1496,78.0,0.3664,,
80,Permutation Feature Importance,0.0065,78.0,0.001,,
111,SHAP,0.6319,78.0,0.808,,
111,LIME,0.6564,78.0,0.8789,,
111,Permutation Feature Importance,0.0168,78.0,0.0009,,
111,PDP,0.5595,92.0,0.0882,,
62,SHAP,0.1871,60.0,0.2379,,
62,LIME,0.1855,60.0,0.6893,,
62,Permutation Feature Importance,0.0081,78.0,0.0143,,
46,SHAP,0.3671,60.0,0.3688,,
46,LIME,0.5899,60.0,0.7141,,
46,Permutation Feature Importance,0.0225,78.0,0.0125,,
52,SHAP,0.7002,78.0,0.7251,,
52,LIME,0.5222,78.0,0.9743,,
52,Permutation Feature Importance,0.0215,78.0,0.0047,,
151,SHAP,0.4361,78.0,0.3567,,
151,LIME,0.3735,78.0,0.6742,,
151,Permutation Feature Importance,0.0119,78.0,0.0052,,
101,SHAP,0.5299,60.0,0.6329,,
101,LIME,0.3576,60.0,0.974,,
101,Permutation Feature Importance,0.1254,78.0,0.0156,,
110,SHAP,0.1843,78.0,0.8497,,
110,LIME,0.3001,78.0,0.6962,,
110,Permutation Feature Importance,0.0015,78.0,0.0119,,
110,PDP,0.2773,92.0,0.0151,,
105,SHAP,0.8172,78.0,0.8407,,
105,LIME,0.7606,78.0,0.9174,,
105,Permutation Feature Importance,0.0373,78.0,0.0069,,
76,SHAP,0.6545,60.0,0.8065,,
76,LIME,0.6089,60.0,0.9877,,
76,Permutation Feature Importance,0.1206,78.0,0.0044,,
76,PDP,0.4544,78.0,0.0063,,
143,SHAP,0.66,60.0,0.3537,,
143,LIME,0.5861,60.0,0.9764,,
143,Permutation Feature Importance,0.0435,78.0,0.0106,,
12,SHAP,0.4279,78.0,0.8524,,
12,LIME,0.4611,78.0,0.4096,,
12,Permutation Feature Importance,0.2277,78.0,0.025,,
12,PDP,0.5914,92.0,0.0133,,
50,SHAP,0.214,60.0,0.6215,,
50,LIME,0.2271,60.0,0.7644,,
50,Permutation Feature Importance,0.0249,78.0,0.0123,,
50,PDP,0.1265,78.0,0.0391,,
90,SHAP,0.2263,78.0,0.805,,
90,LIME,0.2322,78.0,0.7227,,
90,Permutation Feature Importance,0.0096,78.0,0.0048,,
90,PDP,0.1392,92.0,0.0307,,
81,SHAP,0.2115,78.0,0.9287,,
81,LIME,0.2184,78.0,0.746,,
81,Permutation Feature Importance,0.0361,78.0,0.0028,,
81,PDP,0.0959,92.0,0.0049,,
146,SHAP,0.3789,60.0,0.9352,,
146,LIME,0.2953,60.0,0.6399,,
146,Permutation Feature Importance,0.0066,78.0,0.0022,,
146,PDP,0.3476,78.0,0.0092,,
148,SHAP,0.337,78.0,0.9784,,
148,LIME,0.7533,78.0,0.7447,,
148,Permutation Feature Importance,0.016,78.0,0.0013,,
148,PDP,0.6813,92.0,0.0385,,
149,SHAP,0.3434,60.0,0.6699,,
149,LIME,0.2887,60.0,0.7585,,
149,Permutation Feature Importance,0.0414,78.0,0.0118,,
149,PDP,0.2419,78.0,0.0001,,
54,SHAP,0.0659,78.0,0.7407,,
54,LIME,0.0536,78.0,0.2905,,
107,SHAP,0.4874,60.0,0.7469,,
107,LIME,0.4904,60.0,0.6295,,
107,Permutation Feature Importance,0.0333,78.0,0.0045,,
107,PDP,0.3192,78.0,0.0094,,
70,SHAP,0.6442,60.0,0.698,,
70,LIME,0.4476,60.0,0.8823,,
70,Permutation Feature Importance,0.1415,78.0,0.0209,,
91,SHAP,0.3313,78.0,0.4539,,
91,LIME,0.289,78.0,0.2085,,
91,Permutation Feature Importance,0.0193,78.0,0.0079,,
91,PDP,0.112,92.0,0.0886,,
