dataset_id,dataset_name,size,type,dataset_task,feature_count,domain,description ,numeric_features,cat_features,NaN Values,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,data_type,description,num_classes,task_type,image_width,image_height,channels,avg_doc_length,vocab_size,max_length,series_length,num_channels,sampling_rate,NaN_values,has_masks,has_rationales,has_bboxes,ground_truth_type,download_link,citation,license,source,paper_reference,year_published
text_001,IMDB Reviews,50000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Binary sentiment classification of movie reviews,2.0,sentiment_classification,,,,230.0,50000.0,,,,,,,0.0,,,https://ai.stanford.edu/~amaas/data/sentiment/,"Maas et al., Learning Word Vectors for Sentiment Analysis, ACL 2011.",Custom,Stanford,,2011.0
text_002,AG News,120000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,News article classification in 4 categories,4.0,topic_classification,,,,45.0,50000.0,,,,,,,0.0,,,http://groups.di.unipi.it/~gulli/AG_corpus_of_news_articles.html,AG News dataset,Custom,AG,,2005.0
text_003,20 Newsgroups,20000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Text classification across 20 newsgroup categories,20.0,topic_classification,,,,300.0,100000.0,,,,,,,0.0,,,http://qwone.com/~jason/20Newsgroups/,20 Newsgroups dataset,Custom,UCI,,1999.0
text_004,Reuters-21578,21578,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Reuters news articles for text categorization,90.0,topic_classification,,,,150.0,30000.0,,,,,,,0.0,,,https://archive.ics.uci.edu/ml/datasets/reuters-21578,Reuters-21578,Custom,UCI,,1997.0
text_005,SST,11855,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Stanford Sentiment Treebank for sentiment analysis,5.0,sentiment_classification,,,,20.0,18000.0,,,,,,,0.0,,,https://nlp.stanford.edu/sentiment/,"Socher et al., Recursive Deep Models for Semantic Compositionality, EMNLP 2013.",Custom,Stanford,,2013.0
text_006,MR,10662,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Movie reviews binary sentiment dataset,2.0,sentiment_classification,,,,20.0,20000.0,,,,,,,0.0,,,https://www.cs.cornell.edu/people/pabo/movie-review-data/,"Pang & Lee, A Sentiment Education, ACL 2004.",Custom,Cornell,,2004.0
text_007,TREC,5952,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Question classification dataset,6.0,question_classification,,,,10.0,9000.0,,,,,,,0.0,,,https://trec.nist.gov/data/qa.html,TREC QA dataset,Custom,TREC,,1999.0
text_008,DBpedia,560000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Wikipedia article classification into 14 categories,14.0,topic_classification,,,,50.0,100000.0,,,,,,,0.0,,,https://www.dbpedia.org/,DBpedia dataset,CC BY-SA,DBpedia,,2016.0
text_009,Yahoo Answers,150000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Q&A topic classification,10.0,topic_classification,,,,80.0,80000.0,,,,,,,0.0,,,https://course.fast.ai/datasets,Yahoo Answers dataset,Custom,Yahoo,,2015.0
text_010,Yelp Reviews,598000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Business review sentiment dataset,5.0,sentiment_classification,,,,150.0,100000.0,,,,,,,0.0,,,https://www.yelp.com/dataset,Yelp Open Dataset,Custom,Yelp,,2019.0
text_011,MIMIC-III Clinical Notes,2000000,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Clinical notes from intensive care patients,,clinical_text,,,,1500.0,50000.0,,,,,,,0.0,,,https://physionet.org/content/mimiciii/,"Johnson et al., MIMIC-III, Sci Data 2016.",Credentialed,PhysioNet,,2016.0
text_012,MedNLI,11232,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Medical natural language inference dataset,3.0,nli,,,,80.0,25000.0,,,,,,,0.0,,,https://physionet.org/content/mednli/,"Romanov & Shivade, Lessons from Natural Language Inference in the Clinical Domain, NAACL 2018.",Custom,PhysioNet,,2018.0
text_013,PubMed Abstracts,100000,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Medical literature abstracts,,topic_classification,,,,250.0,80000.0,,,,,,,0.0,,,https://pubmed.ncbi.nlm.nih.gov/,PubMed,Public,NCBI,,2020.0
text_014,Financial Phrasebank,4840,real,classification,,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Financial sentiment classification,3.0,sentiment_classification,,,,25.0,5000.0,,,,,,,0.0,,,https://www.kaggle.com/datasets/sbhatti/financial-phrase-bank,"Malo et al., Good Debt or Bad Debt, KDIR 2014.",CC BY 4.0,Kaggle,,2014.0
text_015,FiQA,50000,real,classification,,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Financial question answering dataset,,qa,,,,100.0,30000.0,,,,,,,0.0,,,https://sites.google.com/view/fiqa/,FiQA dataset,Custom,FiQA,,2018.0
text_016,SNLI,570000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Stanford Natural Language Inference dataset,3.0,nli,,,,15.0,40000.0,,,,,,,0.0,,,https://nlp.stanford.edu/projects/snli/,"Bowman et al., A large annotated corpus for NLI, EMNLP 2015.",Custom,Stanford,,2015.0
text_017,MultiNLI,433000,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,Multi-genre NLI dataset,3.0,nli,,,,25.0,80000.0,,,,,,,0.0,,,https://cims.nyu.edu/~sbowman/multinli/,"Williams et al., A broad-coverage challenge corpus for sentence understanding, EMNLP 2018.",Custom,NYU,,2018.0
