dataset_id,interpretability_SHAP,interpretability_LIME,interpretability_PFI,interpretability_PDP,understanding_SHAP,understanding_LIME,understanding_PFI,understanding_PDP,trust_SHAP,trust_LIME,trust_PFI,trust_PDP,interpretability_GradCAM,understanding_GradCAM,trust_GradCAM,interpretability_GradCAM_pp,understanding_GradCAM_pp,trust_GradCAM_pp,interpretability_Integrated_Gradients,understanding_Integrated_Gradients,trust_Integrated_Gradients,interpretability_SmoothGrad,understanding_SmoothGrad,trust_SmoothGrad,interpretability_LIME_Image,understanding_LIME_Image,trust_LIME_Image,interpretability_SHAP_Image,understanding_SHAP_Image,trust_SHAP_Image,interpretability_Saliency_Maps,understanding_Saliency_Maps,trust_Saliency_Maps,interpretability_Guided_Backprop,understanding_Guided_Backprop,trust_Guided_Backprop,interpretability_Guided_GradCAM,understanding_Guided_GradCAM,trust_Guided_GradCAM,interpretability_ScoreCAM,understanding_ScoreCAM,trust_ScoreCAM,interpretability_LayerCAM,understanding_LayerCAM,trust_LayerCAM,interpretability_Attention_Maps,understanding_Attention_Maps,trust_Attention_Maps,interpretability_LIME_Text,understanding_LIME_Text,trust_LIME_Text,interpretability_SHAP_Text,understanding_SHAP_Text,trust_SHAP_Text,interpretability_Integrated_Gradients_Text,understanding_Integrated_Gradients_Text,trust_Integrated_Gradients_Text,interpretability_Attention_Weights,understanding_Attention_Weights,trust_Attention_Weights,interpretability_Gradient_Text,understanding_Gradient_Text,trust_Gradient_Text,interpretability_InputXGradient_Text,understanding_InputXGradient_Text,trust_InputXGradient_Text,interpretability_DeepLIFT_Text,understanding_DeepLIFT_Text,trust_DeepLIFT_Text,interpretability_Occlusion_Text,understanding_Occlusion_Text,trust_Occlusion_Text,interpretability_Shapley_Sampling_Text,understanding_Shapley_Sampling_Text,trust_Shapley_Sampling_Text,interpretability_Rationale_Extraction,understanding_Rationale_Extraction,trust_Rationale_Extraction,interpretability_SHAP_TS,understanding_SHAP_TS,trust_SHAP_TS,interpretability_LIME_TS,understanding_LIME_TS,trust_LIME_TS,interpretability_Attention_TS,understanding_Attention_TS,trust_Attention_TS,interpretability_Feature_Importance_TS,understanding_Feature_Importance_TS,trust_Feature_Importance_TS,interpretability_Temporal_Attribution,understanding_Temporal_Attribution,trust_Temporal_Attribution,interpretability_Integrated_Gradients_TS,understanding_Integrated_Gradients_TS,trust_Integrated_Gradients_TS,interpretability_Gradient_TS,understanding_Gradient_TS,trust_Gradient_TS,interpretability_Permutation_Importance_TS,understanding_Permutation_Importance_TS,trust_Permutation_Importance_TS
text_001,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_002,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_003,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_004,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_005,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_006,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_007,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_008,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_009,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
text_010,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
