Dataset ID,XAI Method,Fidelity,Simplicity,Stability,Localization,source
text_001,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_001,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_001,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_001,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_001,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_001,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_001,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_001,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_001,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_001,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_002,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_002,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_002,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_002,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_002,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_002,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_002,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_002,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_002,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_002,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_003,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_003,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_003,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_003,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_003,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_003,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_003,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_003,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_003,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_003,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_004,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_004,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_004,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
