dataset_id,ai_model_id,Accuracy,Precision
ts_001,LSTM_TS,0.8768,0.8692
ts_001,BiLSTM_TS,0.9317,0.9305
ts_001,GRU_TS,0.937,0.9317
ts_001,Transformer_TS,0.95,0.9694
ts_001,TCN,0.8623,0.8536
ts_001,CNN_1D,0.8464,0.8475
ts_001,XGBoost_TS,0.95,0.9627
ts_001,RandomForest_TS,0.9303,0.9158
ts_002,LSTM_TS,0.82,0.8256
ts_002,BiLSTM_TS,0.9448,0.947
ts_002,GRU_TS,0.7905,0.8044
ts_002,Transformer_TS,0.9402,0.9316
ts_002,TCN,0.9226,0.9135
ts_002,CNN_1D,0.95,0.9359
ts_002,XGBoost_TS,0.8575,0.8754
ts_002,RandomForest_TS,0.8144,0.8125
ts_003,LSTM_TS,0.8199,0.801
ts_003,BiLSTM_TS,0.7607,0.7607
ts_003,GRU_TS,0.7972,0.8169
ts_003,Transformer_TS,0.825,0.8061
ts_003,TCN,0.9362,0.9497
ts_003,CNN_1D,0.88,0.8916
ts_003,XGBoost_TS,0.7775,0.769
ts_003,RandomForest_TS,0.916,0.9238
ts_004,LSTM_TS,0.7778,0.786
ts_004,BiLSTM_TS,0.8397,0.8199
ts_004,GRU_TS,0.7658,0.7561
ts_004,Transformer_TS,0.917,0.9189
ts_004,TCN,0.8954,0.8966
ts_004,CNN_1D,0.7722,0.7638
ts_004,XGBoost_TS,0.8102,0.7921
ts_004,RandomForest_TS,0.834,0.8457
ts_005,LSTM_TS,0.8414,0.8259
ts_005,BiLSTM_TS,0.931,0.9349
ts_005,GRU_TS,0.7533,0.7539
ts_005,Transformer_TS,0.7984,0.7841
ts_005,TCN,0.8358,0.8404
ts_005,CNN_1D,0.7981,0.7948
ts_005,XGBoost_TS,0.8829,0.8663
ts_005,RandomForest_TS,0.9449,0.9276
ts_006,LSTM_TS,0.8752,0.8755
ts_006,BiLSTM_TS,0.95,0.9522
ts_006,GRU_TS,0.8481,0.8469
ts_006,Transformer_TS,0.8971,0.9164
ts_006,TCN,0.8207,0.8014
ts_006,CNN_1D,0.9277,0.9215
ts_006,XGBoost_TS,0.9166,0.9217
ts_006,RandomForest_TS,0.9243,0.9337
ts_007,LSTM_TS,0.8365,0.8183
ts_007,BiLSTM_TS,0.8792,0.8917
ts_007,GRU_TS,0.805,0.8162
ts_007,Transformer_TS,0.8629,0.8707
ts_007,TCN,0.8963,0.9088
ts_007,CNN_1D,0.7826,0.7937
ts_007,XGBoost_TS,0.8615,0.8533
ts_007,RandomForest_TS,0.7788,0.7667
ts_008,LSTM_TS,0.7584,0.7757
ts_008,BiLSTM_TS,0.8531,0.8726
ts_008,GRU_TS,0.8586,0.8487
ts_008,Transformer_TS,0.9007,0.8883
ts_008,TCN,0.8214,0.8326
ts_008,CNN_1D,0.9232,0.9164
ts_008,XGBoost_TS,0.7749,0.7696
ts_008,RandomForest_TS,0.9279,0.9376
ts_009,LSTM_TS,0.9289,0.9244
ts_009,BiLSTM_TS,0.9447,0.9446
ts_009,GRU_TS,0.8495,0.8665
ts_009,Transformer_TS,0.8539,0.8659
ts_009,TCN,0.8954,0.8786
ts_009,CNN_1D,0.8705,0.8834
ts_009,XGBoost_TS,0.8591,0.8519
ts_009,RandomForest_TS,0.766,0.7725
ts_010,LSTM_TS,0.8113,0.8154
ts_010,BiLSTM_TS,0.8352,0.8428
ts_010,GRU_TS,0.8203,0.802
ts_010,Transformer_TS,0.924,0.9181
ts_010,TCN,0.9496,0.9406
ts_010,CNN_1D,0.946,0.9639
ts_010,XGBoost_TS,0.765,0.7705
ts_010,RandomForest_TS,0.8227,0.8347
