dataset_id,dataset_name,size,type,dataset_task,feature_count,domain,description ,numeric_features,cat_features,NaN Values,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,data_type,description,num_classes,task_type,image_width,image_height,channels,avg_doc_length,vocab_size,max_length,series_length,num_channels,sampling_rate,NaN_values,has_masks,has_rationales,has_bboxes,ground_truth_type,download_link,citation,license,source,paper_reference,year_published
ts_001,ECG200 (UCR),200,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,ECG time series binary classification,2.0,timeseries_classification,,,,,,,96.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Time Series Archive,Custom,UCR,,2015.0
ts_002,ECG5000 (UCR),5000,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,ECG time series for heartbeat classification,5.0,timeseries_classification,,,,,,,140.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
ts_003,ElectricDevices (UCR),16637,real,classification,,iot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Power consumption of electric devices,7.0,timeseries_classification,,,,,,,96.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
ts_004,Coffee (UCR),56,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Coffee taste classification from spectral data,2.0,timeseries_classification,,,,,,,286.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
ts_005,UCI HAR,10299,real,classification,,iot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Human activity recognition from smartphone sensors,6.0,timeseries_classification,,,,,,,128.0,9.0,,,,,,,https://archive.ics.uci.edu/ml/datasets/human+activity+recognition+using+smartphones,"Anguita et al., UCI HAR, 2013.",Custom,UCI,,2013.0
ts_006,MIT-BIH Arrhythmia,109446,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,ECG arrhythmia detection,5.0,timeseries_classification,,,,,,,187.0,1.0,,,,,,,https://physionet.org/content/mitdb/,"Moody & Mark, The impact of the MIT-BIH Arrhythmia Database, IEEE 2001.",Open,PhysioNet,,2001.0
ts_007,Sleep-EDF,197,real,classification,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Sleep stage classification from EEG,5.0,timeseries_classification,,,,,,,3000.0,1.0,,,,,,,https://physionet.org/content/sleep-edf/,"Kemp et al., Sleep-EDF, 2000.",Open,PhysioNet,,2000.0
ts_008,Wafer (UCR),7164,real,anomaly_detection,,manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Semiconductor wafer defect detection,2.0,anomaly_detection,,,,,,,152.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
ts_009,Trace (UCR),200,real,classification,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Trace dataset for time series classification,4.0,timeseries_classification,,,,,,,275.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
ts_010,FordA (UCR),3601,real,classification,,manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timeseries,Ford engine sensor data,2.0,timeseries_classification,,,,,,,500.0,1.0,,,,,,,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,UCR Archive,Custom,UCR,,2015.0
