dataset_id,interpretability_SHAP,interpretability_LIME,interpretability_PFI,interpretability_PDP,understanding_SHAP,understanding_LIME,understanding_PFI,understanding_PDP,trust_SHAP,trust_LIME,trust_PFI,trust_PDP
53,4,3,3,5,4,3,3,5,4,3,3,5
45,3,4,3,4,3,4,3,4,3,4,3,4
2,4,3,3,4,4,3,3,4,4,3,3,4
109,4,3,3,4,4,3,3,4,4,3,3,4
19,3,4,3,4,3,4,3,4,3,4,3,4
144,4,3,3,4,4,3,3,4,4,3,3,4
94,4,3,3,4,4,3,3,4,4,3,3,4
15,4,3,3,4,4,3,3,4,4,3,3,4
14,4,3,3,4,4,3,3,4,4,3,3,4
27,4,3,3,4,4,3,3,4,4,3,3,4
42,3,4,3,4,3,4,3,4,3,4,3,4
80,4,3,3,4,4,3,3,4,4,3,3,4
111,4,3,3,4,4,3,3,4,4,3,3,4
62,3,4,3,4,3,4,3,4,3,4,3,4
46,4,3,3,4,4,3,3,4,4,3,3,4
52,4,3,3,4,4,3,3,4,4,3,3,4
151,4,3,3,4,4,3,3,4,4,3,3,4
101,4,3,3,4,4,3,3,4,4,3,3,4
110,4,3,3,4,4,3,3,4,4,3,3,4
105,4,3,3,4,4,3,3,4,4,3,3,4
76,4,3,3,4,4,3,3,4,4,3,3,4
143,4,3,3,4,4,3,3,4,4,3,3,4
12,4,3,3,4,4,3,3,4,4,3,3,4
50,4,3,3,4,4,3,3,4,4,3,3,4
90,4,3,3,4,4,3,3,4,4,3,3,4
81,4,3,3,4,4,3,3,4,4,3,3,4
146,4,3,3,4,4,3,3,4,4,3,3,4
148,4,3,3,4,4,3,3,4,4,3,3,4
149,4,3,3,4,4,3,3,4,4,3,3,4
54,4,3,3,4,4,3,3,4,4,3,3,4
107,4,3,3,4,4,3,3,4,4,3,3,4
70,4,3,3,4,4,3,3,4,4,3,3,4
91,4,3,3,4,4,3,3,4,4,3,3,4
53,5,4,3,4,5,4,3,4,5,4,3,4
45,4,4,3,3,4,4,3,3,4,4,3,3
2,4,4,3,4,4,4,3,4,4,4,3,4
109,4,4,3,3,4,4,3,3,4,4,3,3
19,4,4,3,4,4,4,3,4,4,4,3,4
144,3,3,3,3,3,3,3,3,3,3,3,3
94,4,4,3,4,4,4,3,4,4,4,3,4
15,4,4,3,4,4,4,3,4,4,4,3,4
14,4,4,3,4,4,4,3,4,4,4,3,4
27,3,3,3,3,3,3,3,3,3,3,3,3
42,4,4,3,4,4,4,3,4,4,4,3,4
80,4,4,3,3,4,4,3,3,4,4,3,3
111,4,4,3,4,4,4,3,4,4,4,3,4
62,3,3,3,3,3,3,3,3,3,3,3,3
46,4,4,3,4,4,4,3,4,4,4,3,4
52,4,4,3,4,4,4,3,4,4,4,3,4
151,3,3,3,3,3,3,3,3,3,3,3,3
101,4,4,3,4,4,4,3,4,4,4,3,4
110,4,4,3,4,4,4,3,4,4,4,3,4
105,4,4,3,4,4,4,3,4,4,4,3,4
76,4,4,3,4,4,4,3,4,4,4,3,4
143,3,3,3,3,3,3,3,3,3,3,3,3
12,4,4,3,4,4,4,3,4,4,4,3,4
50,4,4,3,4,4,4,3,4,4,4,3,4
90,4,4,3,4,4,4,3,4,4,4,3,4
81,4,4,3,4,4,4,3,4,4,4,3,4
146,3,3,3,3,3,3,3,3,3,3,3,3
148,4,4,3,4,4,4,3,4,4,4,3,4
149,4,4,3,4,4,4,3,4,4,4,3,4
54,3,3,3,3,3,3,3,3,3,3,3,3
107,4,4,3,4,4,4,3,4,4,4,3,4
70,4,4,3,4,4,4,3,4,4,4,3,4
91,4,4,3,4,4,4,3,4,4,4,3,4
53,4,3,3,4,4,3,3,4,4,3,3,4
45,4,3,3,4,4,3,3,4,4,3,3,4
2,4,3,3,4,4,3,3,4,4,3,3,4
109,4,3,3,4,4,3,3,4,4,3,3,4
19,4,3,3,4,4,3,3,4,4,3,3,4
144,4,3,3,4,4,3,3,4,4,3,3,4
94,4,3,3,4,4,3,3,4,4,3,3,4
15,4,3,3,4,4,3,3,4,4,3,3,4
14,4,3,3,4,4,3,3,4,4,3,3,4
27,4,3,3,4,4,3,3,4,4,3,3,4
42,4,3,3,4,4,3,3,4,4,3,3,4
80,4,3,3,4,4,3,3,4,4,3,3,4
111,4,3,3,4,4,3,3,4,4,3,3,4
62,4,3,3,4,4,3,3,4,4,3,3,4
46,4,3,3,4,4,3,3,4,4,3,3,4
52,4,3,3,4,4,3,3,4,4,3,3,4
151,4,3,3,4,4,3,3,4,4,3,3,4
101,4,3,3,4,4,3,3,4,4,3,3,4
110,4,3,3,4,4,3,3,4,4,3,3,4
105,4,3,3,4,4,3,3,4,4,3,3,4
76,4,3,3,4,4,3,3,4,4,3,3,4
143,4,3,3,4,4,3,3,4,4,3,3,4
12,4,3,3,4,4,3,3,4,4,3,3,4
50,4,3,3,4,4,3,3,4,4,3,3,4
